ISim log file
Running: D:\Desktop\CO\P7\CPU\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/Desktop/CO/P7/CPU/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00004180: $ 5 <= 000031f4
@00004184: $ 4 <= 000031f8
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 000031f8
@00004184: $ 4 <= 000031fc
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 000031fc
@00004184: $ 4 <= 00003200
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 00003200
@00004184: $ 4 <= 00003204
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 00003204
@00004184: $ 4 <= 00003208
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 00003208
@00004184: $ 4 <= 0000320c
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 0000320c
@00004184: $ 4 <= 00003210
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 00003210
@00004184: $ 4 <= 00003214
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 00003214
@00004184: $ 4 <= 00003218
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 00003218
@00004184: $ 4 <= 0000321c
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 0000321c
@00004184: $ 4 <= 00003220
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 00003220
@00004184: $ 4 <= 00003224
@00004188: $ 1 <= 0000002d
@0000418c: $ 6 <= 0000002e
@00004180: $ 5 <= 00003224
@00004184: $ 4 <= 00003228
@00004188: $ 1 <= 00000030
@0000418c: $ 6 <= 00000031
@00004180: $ 5 <= 00003228
@00004184: $ 4 <= 0000322c
@00004188: $ 1 <= 00000033
@0000418c: $ 6 <= 00000034
@00004180: $ 5 <= 0000322c
@00004184: $ 4 <= 00003230
@00004188: $ 1 <= 00000036
@0000418c: $ 6 <= 00000037
@00004180: $ 5 <= 00003230
@00004184: $ 4 <= 00003234
@00004188: $ 1 <= 00000039
@0000418c: $ 6 <= 0000003a
@00004180: $ 5 <= 00003234
@00004184: $ 4 <= 00003238
@00004188: $ 1 <= 0000003c
@0000418c: $ 6 <= 0000003d
@00004180: $ 5 <= 00003238
@00004184: $ 4 <= 0000323c
@00004188: $ 1 <= 0000003f
@0000418c: $ 6 <= 00000040
@00004180: $ 5 <= 0000323c
@00004184: $ 4 <= 00003240
@00004188: $ 1 <= 00000042
@0000418c: $ 6 <= 00000043
@00003240: $ 1 <= 00000000
@00004180: $ 5 <= 00003244
@00004184: $ 4 <= 00003248
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003248
@00004184: $ 4 <= 0000324c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 0000324c
@00004184: $ 4 <= 00003250
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00004180: $ 5 <= 00003250
@00004184: $ 4 <= 00003254
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 00003254
@00004184: $ 4 <= 00003258
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 00003258
@00004184: $ 4 <= 0000325c
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 0000325c
@00004184: $ 4 <= 00003260
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 00003260
@00004184: $ 4 <= 00003264
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 00003264
@00004184: $ 4 <= 00003268
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 00003268
@00004184: $ 4 <= 0000326c
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 0000326c
@00004184: $ 4 <= 00003270
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 00003270
@00004184: $ 4 <= 00003274
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 00003274
@00004184: $ 4 <= 00003278
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 00003278
@00004184: $ 4 <= 0000327c
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 0000327c
@00004184: $ 4 <= 00003280
@00004188: $ 1 <= 0000002d
@0000418c: $ 6 <= 0000002e
@00004180: $ 5 <= 00003280
@00004184: $ 4 <= 00003284
@00004188: $ 1 <= 00000030
@0000418c: $ 6 <= 00000031
@00004180: $ 5 <= 00003284
@00004184: $ 4 <= 00003288
@00004188: $ 1 <= 00000033
@0000418c: $ 6 <= 00000034
@00004180: $ 5 <= 00003288
@00004184: $ 4 <= 0000328c
@00004188: $ 1 <= 00000036
@0000418c: $ 6 <= 00000037
@00004180: $ 5 <= 0000328c
@00004184: $ 4 <= 00003290
@00004188: $ 1 <= 00000039
@0000418c: $ 6 <= 0000003a
@00004180: $ 5 <= 00003290
@00004184: $ 4 <= 00003294
@00004188: $ 1 <= 0000003c
@0000418c: $ 6 <= 0000003d
@00004180: $ 5 <= 00003294
@00004184: $ 4 <= 00003298
@00004188: $ 1 <= 0000003f
@0000418c: $ 6 <= 00000040
@00004180: $ 5 <= 00003298
@00004184: $ 4 <= 0000329c
@00004188: $ 1 <= 00000042
@0000418c: $ 6 <= 00000043
@00004180: $ 5 <= 0000329c
@00004184: $ 4 <= 000032a0
@00004188: $ 1 <= 00000045
@0000418c: $ 6 <= 00000046
@00004180: $ 5 <= 000032a0
@00004184: $ 4 <= 000032a4
@00004188: $ 1 <= 00000048
@0000418c: $ 6 <= 00000049
@00004180: $ 5 <= 000032a4
@00004184: $ 4 <= 000032a8
@00004188: $ 1 <= 0000004b
@0000418c: $ 6 <= 0000004c
@00004180: $ 5 <= 000032a8
@00004184: $ 4 <= 000032ac
@00004188: $ 1 <= 0000004e
